"Incident.Type";"Complaint.Tracking.Number";"Date.Complaint.Occurred";"Date.Complaint.Received.by.NOPD..PIB.";"Date.Complaint.Investigation.Complete";"Complaint.classification";"Investigation.status";"Disposition";"Bureau.of.Complainant";"Division.of.Complainant";"Unit.of.Complainant";"Unit.Additional.Details.of.Complainant";"Working.Status.of.Complainant";"Shift.of.Complainant";"Rule.Violation";"Paragraph.Violation";"Unique.Officer.Allegation.ID";"Officer.Race.Ethnicity";"Officer.Gender";"Officer.Age";"Officer.years.of.service";"Complainant.Gender";"Complainant.Ethnicity";"Complainant.Age"
"3668";"Public Initiated";"2019-0384-P";"6/19/2019 12:00:00 AM";"6/28/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"MSB - Management Service Bureau";"Administrative Duties Services";"Limited Duty";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52336;"Black";"Female";39;12;"Female";"Black";NA
"3669";"Public Initiated";"2019-0366-P";"6/5/2019 12:00:00 AM";"7/1/2019 12:00:00 AM";"10/30/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"C Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52345;"Black";"Male";32;11;"Male";"White";49
"3670";"Public Initiated";"2019-0387-P";"6/26/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"5th District";"Investigations";"Squad 2";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52361;"Black";"Male";48;13;"";"";NA
"3671";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";53457;"Black";"Male";36;3;"";"";NA
"3672";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52359;"Black";"Male";33;3;"";"";NA
"3673";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52442;"Black";"Male";44;15;"";"";NA
"3674";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52443;"White";"Male";31;4;"";"";NA
"3675";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52444;"White";"Male";30;2;"";"";NA
"3676";"Rank Initiated";"2019-0386-R";"5/29/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"Patrol";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52445;"Hispanic";"Male";37;1;"";"";NA
"3677";"Rank Initiated";"2019-0388-R";"6/27/2019 12:00:00 AM";"7/2/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"8th District";"Mounted";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52362;"White";"Male";36;1;"";"";NA
"3678";"Rank Initiated";"2019-0397-R";"7/1/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"9/11/2019 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"4th District";"Task Force";"A";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52396;"Black";"Male";46;22;"";"";NA
"3679";"Public Initiated";"";"";"7/3/2019 12:00:00 AM";"";"";"Initial";"Pending";"";"";"";"";"";"";"";"";NA;"";"";NA;NA;"";"";NA
"3680";"Rank Initiated";"2019-0390-R";"5/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"4th District";"Task Force";"B";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52367;"Black";"Male";23;3;"";"";NA
"3681";"Rank Initiated";"2019-0390-R";"5/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"4th District";"Task Force";"B";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52369;"Black";"Male";26;3;"";"";NA
"3682";"Rank Initiated";"2019-0391-R";"5/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"Motorcycle 1st Platoon";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52372;"Black";"Male";51;28;"";"";NA
"3683";"Rank Initiated";"2019-0391-R";"5/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"Motorcycle 1st Platoon";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52457;"Black";"Female";37;17;"";"";NA
"3684";"Rank Initiated";"2019-0392-R";"12/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52375;"Black";"Male";29;3;"";"";NA
"3685";"Rank Initiated";"2019-0392-R";"12/22/2018 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52377;"Black";"Male";39;14;"";"";NA
"3686";"Rank Initiated";"2019-0393-R";"6/13/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"Special Operations Division";"Tactical Section";"1st Platoon";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 13 - Social Networking...etc.";52380;"White";"Male";38;15;"";"";NA
"3687";"Public Initiated";"2019-0389-P";"6/20/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"11/20/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52365;"White";"Male";35;10;"Male";"White";33
"3688";"Public Initiated";"2019-0396-P";"7/2/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"11/20/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52386;"White";"Male";28;2;"Female";"W";37
"3689";"Public Initiated";"2019-0396-P";"7/2/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"11/20/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52387;"White";"Male";32;1;"Female";"W";37
"3690";"Public Initiated";"2019-0395-N";"7/2/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"NFIM";"Forwarded";"Pending";"FOB - Field Operations Bureau";"2nd District";"Detailed/Other";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52385;"White";"Male";46;21;"Female";"Black";44
"3691";"Public Initiated";"2019-0394-P";"6/27/2019 12:00:00 AM";"7/3/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"2nd District";"A Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52383;"Black";"Male";31;4;"Female";"Black";20
"3692";"Public Initiated";"2019-0398-P";"6/30/2019 12:00:00 AM";"7/5/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52422;"Black";"Male";45;3;"Female";"Black";63
"3693";"Public Initiated";"2019-0398-P";"6/30/2019 12:00:00 AM";"7/5/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"3rd District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52424;"White";"Male";42;3;"Female";"Black";63
"3694";"Rank Initiated";"2019-0399-R";"5/29/2019 12:00:00 AM";"7/5/2019 12:00:00 AM";"10/30/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"1st District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52426;"White";"Male";41;16;"";"";NA
"3695";"Rank Initiated";"2019-0399-R";"5/29/2019 12:00:00 AM";"7/5/2019 12:00:00 AM";"10/30/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"FOB - Field Operations Bureau";"8th District";"1st District";"Task Force A";"Regular Working";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52456;"Hispanic";"Male";30;7;"";"";NA
"3696";"Rank Initiated";"2019-0400-R";"7/3/2019 12:00:00 AM";"7/5/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"PIB - Public Integrity Bureau";"Criminal Investigation Section";"Criminal Investigation Section";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";52429;"Black";"Male";57;28;"";"";NA
"3697";"Public Initiated";"2019-0404-P";"7/7/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"11/7/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"8th District";"C Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52452;"Hispanic";"Male";39;7;"Female";"Black";43
"3698";"Public Initiated";"2019-0402-P";"1/1/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"";"DI-1";"Active";"Pending";"Unknown Bureau";"";"";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52447;"";"";NA;NA;"Female";"Black";34
"3699";"Public Initiated";"2019-0401-P";"7/5/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"DWI Unit";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52446;"White";"Male";53;28;"";"";NA
"3700";"Public Initiated";"2019-0403-P";"7/5/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 625am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";52450;"White";"Male";47;22;"";"";NA
"3701";"Public Initiated";"2019-0405-P";"7/8/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52454;"White";"Male";36;5;"Male";"Race-Unknown";NA
"3702";"Public Initiated";"2019-0406-P";"7/5/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"";52458;"Black";"Female";32;2;"F";"B";NA
"3703";"Public Initiated";"2019-0401-P";"7/5/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"Special Operations Division";"Traffic Section";"DWI Unit";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52446;"White";"Male";53;28;"Female";"Black";39
"3704";"Public Initiated";"2019-0403-P";"7/5/2019 12:00:00 AM";"7/8/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"7th District";"7th District";"Patrol";"Regular Working";"Between 625am-3pm";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";52450;"White";"Male";47;22;"Male";"Black";NA
"3705";"Public Initiated";"2019-0407-P";"7/5/2019 12:00:00 AM";"7/9/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"3rd District";"A Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 02 - COURTESY";52463;"White";"Male";42;20;"Female";"Black";39
"3706";"Rank Initiated";"2019-0410-R";"7/9/2019 12:00:00 AM";"7/13/2019 12:00:00 AM";"11/6/2019 12:00:00 AM";"DI-1";"Completed";"Sustained";"MSB - Management Services Bureau";"Education/Training & Recruitment Division";"";"";"Regular Working";"Between 6:45am-3:45pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52491;"Black";"Male";NA;0;"";"";NA
"3707";"Rank Initiated";"2019-0411-R";"7/12/2019 12:00:00 AM";"7/15/2019 12:00:00 AM";"11/20/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"6th District";"B Platoon";"Patrol";"";"Between 3pm-11pm";"RULE 4: PERF OF DUTY";"PARAGRAPH 01 - REPORTING FOR DUTY";52487;"Black";"Male";46;22;"";"";NA
"3708";"Public Initiated";"2019-0413-P";"";"7/15/2019 12:00:00 AM";"8/1/2019 12:00:00 AM";"DI-1";"Completed";"Other";"FOB - Field Operations Bureau";"8th District";"Staff";"";"";"";"NO ALLIGATIONS ASSIGNED AT THIS TIME";"";52489;"White";"Male";NA;22;"";"";NA
"3709";"Public Initiated";"2019-0409-P";"7/9/2019 12:00:00 AM";"7/15/2019 12:00:00 AM";"10/28/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"1st District";"3rd Platoon";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52484;"Black";"Male";44;15;"Female";"Black";19
"3710";"Public Initiated";"2019-0412-P";"7/14/2019 12:00:00 AM";"7/17/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"8th District";"Bourbon Promenade";"Bourbon Street";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52674;"Black";"Male";51;22;"";"";NA
"3711";"Public Initiated";"2019-0416-N";"7/17/2019 12:00:00 AM";"7/17/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"NFIM";"Completed";"NFIM";"Not - NOPD Officer";"Not Nopd";"N/A";"N/A";"Not Employed with NOPD";"N/A";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52549;"";"";NA;NA;"Male";"Race-Unknown";NA
"3712";"Rank Initiated";"2019-0415-R";"7/3/2019 12:00:00 AM";"7/17/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"7th District";"D.I.U.";"Squad 2";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52655;"Asian/Pacifi";"Male";24;1;"";"";NA
"3713";"Rank Initiated";"2019-0418-R";"7/17/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"10/29/2019 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"ISB - Investigations and Support Bureau";"Crime Lab and Evidence Division";"Scientific Criminal Investigations Section ";"Crime Lab Forensic";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52529;"White";"Male";55;11;"";"";NA
"3714";"Public Initiated";"2019-0417-P";"8/9/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"7th District";"Evening Watch";"Squad 2";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52526;"White";"Male";36;2;"";"";NA
"3715";"Public Initiated";"2019-0419-P";"7/17/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"5th District";"C Platoon";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52669;"Black";"Female";51;24;"Male";"White";31
"3716";"Public Initiated";"2019-0420-P";"7/9/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Child Abuse Platoon 2";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52533;"Black";"Male";48;17;"Female";"White";39
"3717";"Public Initiated";"2019-0420-P";"7/9/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Child Abuse Platoon 2";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52537;"Black";"Female";42;9;"Female";"White";39
"3718";"Public Initiated";"2019-0420-P";"7/9/2019 12:00:00 AM";"7/18/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Child Abuse Platoon 2";"Regular Working";"Between 7am-3pm";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52640;"Black";"Female";NA;NA;"Female";"White";39
"3719";"Public Initiated";"2019-0421-P";"7/18/2019 12:00:00 AM";"7/19/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52545;"Black";"Female";50;25;"";"";NA
"3720";"Public Initiated";"2019-0421-P";"7/18/2019 12:00:00 AM";"7/19/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"7th District";"Day Watch";"";"";"";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52545;"Black";"Female";50;25;"Male";"";55
"3721";"Rank Initiated";"2019-0425-R";"7/18/2019 12:00:00 AM";"7/22/2019 12:00:00 AM";"9/11/2019 12:00:00 AM";"DI-1";"Completed";"Negotiated Settlement";"FOB - Field Operations Bureau";"8th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52589;"White";"Male";31;4;"";"";NA
"3722";"Rank Initiated";"2019-0426-R";"7/19/2019 12:00:00 AM";"7/22/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"8th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 02 - INSTRUCTIONS FROM AUTHORITATIVE SOURCE";52592;"White";"Male";31;4;"";"";NA
"3723";"Public Initiated";"2019-0423-P";"4/1/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"";"";"";"";"";"";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52567;"";"";NA;NA;"";"";NA
"3724";"Public Initiated";"2019-0424-R";"7/21/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"2nd District";"C Platoon";"";"DUI 2009-0665-R";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 09 - Use of Alchohol/Drugs Off-Duty";52570;"Black";"Male";46;18;"";"";NA
"3725";"Public Initiated";"2019-0427-P";"7/20/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52572;"Black";"Male";24;1;"Female";"Black";30
"3726";"Public Initiated";"2019-0427-P";"7/20/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"5th District";"B Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52764;"Black";"Male";62;21;"Female";"Black";30
"3727";"Public Initiated";"2019-0428-P";"5/21/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52573;"White";"Male";41;4;"";"";NA
"3728";"Public Initiated";"2019-0430-P";"7/26/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"8th District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52577;"";"";NA;NA;"";"";NA
"3729";"Public Initiated";"2019-0430-P";"7/26/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"8th District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52676;"White";"Male";56;0;"";"";NA
"3730";"Public Initiated";"2019-0430-P";"7/26/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"8th District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52676;"White";"Male";56;0;"Male";"White";NA
"3731";"Public Initiated";"2019-0430-P";"7/26/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Not Sustained";"FOB - Field Operations Bureau";"8th District";"";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52577;"";"";NA;NA;"Male";"White";NA
"3732";"Public Initiated";"2019-0429-P";"7/22/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"6th District";"C Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52575;"Hispanic";"Male";28;2;"Male";"Race-Unknown";42
"3733";"Public Initiated";"2019-0428-P";"5/21/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"";"DI-1";"Forwarded";"Pending";"FOB - Field Operations Bureau";"1st District";"1st Platoon";"";"Unknown Working Status";"Unknown Shift Hours";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52573;"White";"Male";41;4;"Female";"White";54
"3734";"Public Initiated";"2019-0422-P";"10/24/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Crimes Platoon 1";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52564;"Hispanic";"Male";35;11;"F";"B";49
"3735";"Public Initiated";"2019-0422-P";"10/24/2019 12:00:00 AM";"7/23/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Exonerated";"ISB - Investigations and Support Bureau";"Criminal Investigations Division";"Special Victims  Section";"Sex Crimes Platoon 1";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52652;"Hispanic";"Male";51;22;"F";"B";49
"3736";"Public Initiated";"2019-0432-P";"7/24/2019 12:00:00 AM";"7/24/2019 12:00:00 AM";"11/26/2019 12:00:00 AM";"DI-1";"Completed";"Unfounded";"FOB - Field Operations Bureau";"1st District";"3rd Platoon";"Patrol";"Regular Working";"Between 11pm-7am";"RULE 3: PROF CONDUCT";"PARAGRAPH 01 - Professionalism";52598;"Black";"Male";44;15;"Female";"Black";23
"3737";"Rank Initiated";"2019-0431-R";"7/23/2019 12:00:00 AM";"7/24/2019 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"4th District";"2nd Platoon";"";"";"";"RULE 4: PERF OF DUTY";"PARAGRAPH 04 - NEGLECT OF DUTY";52741;"Black";"Female";43;21;"";"";NA
"3738";"Public Initiated";"2019-0433-P";"7/12/2019 12:00:00 AM";"7/26/2019 12:00:00 AM";"";"DI-1";"Active";"Pending";"FOB - Field Operations Bureau";"Special Operations Division";"Mounted";"Mounted";"Regular Working";"Unknown Shift Hours";"RULE 2: MORAL CONDUCT";"PARAGRAPH 01 - ADHERENCE TO LAW";52643;"Black";"Male";53;22;"";"";NA
